Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,24.650642,19.493884,0.006353,42.159724,50.816623,9.077794,97.986782,40.887781,38.138237
tri3_nodal_rgb,tri3,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,42.374445,26.473713,0.000632,66.353800,69.741980,5.854928,70.208985,27.587269,26.009962
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,26.901772,35.715463,0.000791,61.063959,69.729707,8.596685,49.906595,28.606667,24.762658
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,27.557739,52.773512,0.000731,78.967460,91.612597,8.675212,33.439316,22.391473,20.031136
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,25.177290,53.426134,0.001302,77.394228,90.062902,8.665212,33.047058,22.202027,19.863258
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,27.099011,52.952086,0.000762,78.053761,87.120607,8.623236,33.187616,22.221286,19.824165
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,25.203031,64.901773,0.000841,89.600518,100.004633,8.581710,26.874118,19.176907,17.347250
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,28.015518,52.179829,0.000671,79.140576,91.632481,8.574672,33.365291,22.267984,19.852469
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,27.339242,78.949520,0.000642,106.289073,115.980464,8.602340,21.425012,16.239918,14.921073
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,26.328406,64.545854,0.000731,88.782022,103.233621,8.731072,27.079840,19.293468,17.491056
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,34.611291,49.529634,0.000521,80.743718,90.851708,6.561202,38.236563,21.816336,19.539000
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,33.708703,69.531664,0.000601,101.632568,112.499532,6.541994,24.992589,16.758237,15.371335
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,34.368136,75.973393,0.007154,107.330962,116.496709,6.531791,23.660950,16.120766,14.820069
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,34.850871,71.403572,0.000651,104.175451,116.155277,6.562293,24.534482,16.550583,15.188749
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,35.344878,99.623693,0.000912,133.566146,142.300676,6.584902,17.178841,12.798871,11.963969
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,34.186659,71.424975,0.000601,104.115419,112.882771,6.544371,24.608906,16.578713,15.208650
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,35.909531,117.102025,0.000671,150.047918,162.759747,6.533999,14.517443,11.294323,10.639759
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,35.373324,100.074692,0.000881,132.239871,143.117877,6.516310,17.156387,12.824835,11.983190
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,22.939808,20.454118,0.001142,41.317258,44.125768,10.144953,91.385354,42.421615,39.514646
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,26.058182,22.300765,0.000801,47.395180,56.634588,8.589177,85.674244,37.591631,31.213212
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,22.487413,39.942356,0.000811,61.439352,64.256157,10.150439,43.412370,28.018051,26.722313
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,27.613050,47.004433,0.000732,73.291434,82.887685,8.605695,37.677858,24.106023,21.308481
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,32.209816,33.112585,0.008506,62.960928,65.800355,7.357507,55.110614,28.111811,26.811342
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,34.099285,31.627651,0.000612,64.907968,78.401354,6.521978,53.485051,26.093936,22.788187
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,32.228703,63.154910,0.000762,94.180487,105.155791,7.363640,26.885120,18.314092,17.745098
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,34.985473,70.669244,0.000891,104.127451,116.116328,6.517386,24.066888,16.321877,14.993163
tri6_nodal_grey,tri6,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,65.609534,100.749303,0.007294,162.958906,171.196214,3.426016,17.078561,10.401121,9.870571
